Pledge
"10000"
"10000"
"10000"
"10000"
"10000"
"10000"
"10000"
"30000"
"10000"
"2000"
"20000"
"1000000"
"200000"
"100000"
"10000"
"10000"
"10000"
"120"
"10000"
"120"
"720"
"50000"
"10000"
"10000"
"10000"
"120"
"10000"
"10000"
"10000"
"5000"
"50000"
"10000"
"20000"
"10000"
"50000"
"50000"
"5000"
"10000"
"10000"
"2000"
"50000"
"120"
"120"
"10000"
"10000"
"40000"
"25000"
"10000"
"10000"
"1000"
"10000"
"50000"
"10000"
"20000"
"120"
"10000"
"120"
"120"
